Cat_ID_timepoint,Cat_ID,Owner_ID,date,dob,Age_years,Breed,Sex,BCS,MCS_combined,hypertensive_sbp,Hypertension,hypertensive_over.study,stHyp,1st_visit_date,1st_visit_age,Censor_visit_date,Censor_visit_age,baseline_dx
Cat001_0.5,Cat001,Own001,19/09/2017,10/11/2009,7.857631759,Non-pedigree,Male,7,NA,97.5,No,No,1,19/09/2017,7.857631759,24/08/2021,11.78644764,No
Cat002_0,Cat002,Own002,08/03/2017,19/03/2009,7.969883641,Non-pedigree,Male,7,30,119.4,No,No,1,08/03/2017,7.969883641,24/01/2024,14.85010267,No
Cat003_0,Cat003,Own003,08/03/2017,08/04/2009,7.915126626,Non-pedigree,Male,6,30,148.3,No,No,1,08/03/2017,7.915126626,08/03/2017,7.915126626,No
Cat004_0,Cat004,Own004,14/03/2017,24/04/2009,7.887748118,Non-pedigree,Female,6,30,149.5,No,No,1,14/03/2017,7.887748118,14/03/2017,7.887748118,No
Cat005_0,Cat005,Own005,28/03/2017,04/06/2009,7.813826146,Non-pedigree,Female,7,30,161.6,Yes,No,1,28/03/2017,7.813826146,22/11/2022,13.46748802,No
Cat006_0,Cat006,Own006,28/03/2017,21/09/2009,7.515400411,Pedigree,Male,4,21,153.4,No,Yes,2,28/03/2017,7.515400411,07/11/2019,10.12731006,No
Cat007_0,Cat007,Own007,19/04/2017,09/04/2010,7.028062971,Pedigree,Male,7,30,141.25,No,Yes,2,19/04/2017,7.028062971,15/06/2021,11.18412047,No
Cat008_0,Cat008,Own007,19/04/2017,09/04/2010,7.028062971,Pedigree,Female,6,30,118.8,No,No,1,19/04/2017,7.028062971,27/06/2023,13.21560575,No
Cat009_1,Cat009,Own008,19/06/2018,04/09/2009,8.788501027,Pedigree,Female,5,30,134,No,No,1,19/06/2018,8.788501027,19/06/2018,8.788501027,No
Cat010_0,Cat010,Own009,03/05/2017,24/06/2010,6.858316222,Non-pedigree,Male,7,30,130,No,No,1,03/05/2017,6.858316222,03/05/2017,6.858316222,No
Cat011_0,Cat011,Own010,09/05/2017,29/03/2010,7.112936345,Non-pedigree,Female,5,30,115.7,No,Yes,2,09/05/2017,7.112936345,08/02/2022,11.86584531,No
Cat012_0,Cat012,Own010,09/05/2017,29/03/2010,7.112936345,Non-pedigree,Female,4,30,108,No,No,1,09/05/2017,7.112936345,26/11/2019,9.661875428,No
Cat013_0,Cat013,Own011,16/05/2017,15/05/2010,7.003422313,Non-pedigree,Male,5,30,123,No,No,1,16/05/2017,7.003422313,24/05/2023,13.02395619,No
Cat014_0,Cat014,Own011,23/05/2017,15/05/2010,7.022587269,Non-pedigree,Female,7,30,99,No,No,1,23/05/2017,7.022587269,20/10/2022,12.43258042,No
Cat015_0,Cat015,Own012,31/05/2017,03/09/2007,9.741273101,Non-pedigree,Male,6,30,200,Yes,Yes,2,31/05/2017,9.741273101,31/05/2017,9.741273101,Yes
