Cat_ID_timepoint,Cat_ID,Owner_ID,timepoint,date,dob,Age_years,Breed,breed,Sex,neuter_status,weight,BCS,MCS_combined,Heart_murmur,HM_grade,HM_at_least_once,HR,CKD,CKD_IRIS,CKD_over.study,Hypertension,hypertensive_over.study,Diabetes_mellitus,diabetes_over.study,Hyperthyroidism,hyperthyroid_over.study,oe.abnormalities_Yes_no_incomplete,oe.abnormality_score,oe_abnormalities_over_study,Dental_disease,dental_dz_over_study,Neoplasia,neoplasia_over.study,FIV.Y.N.,Medications,log_sbp,SBP,Healthy_visit,Overall_health_status
Cat001_0,Cat001,Own001,0,28/02/2017,10/11/2009,7.301848049,Non-pedigree,DMH,Male,Yes,6.97,7,30,Yes,3,Yes,160,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,NA,NA,Yes,Not_Healthy
Cat001_0.5,Cat001,Own001,0.5,19/09/2017,10/11/2009,7.857631759,Non-pedigree,DMH,Male,Yes,6.8,7,NA,Yes,3,Yes,220,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,4.579852378,97.5,Yes,Not_Healthy
Cat001_1,Cat001,Own001,1,28/02/2018,10/11/2009,8.301163587,Non-pedigree,DMH,Male,Yes,6.94,8,30,No,0,Yes,180,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,4.700480366,110,Yes,Not_Healthy
Cat001_1.5,Cat001,Own001,1.5,09/08/2018,10/11/2009,8.744695414,Non-pedigree,DMH,Male,Yes,6.48,7,30,No,0,Yes,188,NA,NA,No,No,No,No,No,No,No,NA,NA,0,Yes,1,No,No,No,NA,NA,NA,Yes,Not_Healthy
Cat001_2,Cat001,Own001,2,05/02/2019,10/11/2009,9.237508556,Non-pedigree,DMH,Male,Yes,6.83,8,26,Yes,4,Yes,168,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,5.003946306,149,Yes,Not_Healthy
Cat001_3,Cat001,Own001,3,04/02/2020,10/11/2009,10.23408624,Non-pedigree,DMH,Male,Yes,6.07,6,NA,Yes,3,Yes,204,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,4.621043535,101.6,Yes,Not_Healthy
Cat001_3.5,Cat001,Own001,3.5,20/08/2020,10/11/2009,10.7761807,Non-pedigree,DMH,Male,Yes,6.16,7,30,Yes,2,Yes,192,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.605170186,100,Yes,Not_Healthy
Cat001_4.5,Cat001,Own001,4.5,24/08/2021,10/11/2009,11.78644764,Non-pedigree,DMH,Male,Yes,5.73,6,26,Yes,2,Yes,152,NA,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,4.755312844,116.2,Yes,Not_Healthy
Cat002_0,Cat002,Own002,0,08/03/2017,19/03/2009,7.969883641,Non-pedigree,DSH,Male,Yes,5.6,7,30,No,0,Yes,210,No,NA,No,No,No,No,No,No,No,No,0,1,No,1,No,No,No,NA,4.782479201,119.4,Yes,Not_Healthy
Cat002_0.5,Cat002,Own002,0.5,27/09/2017,19/03/2009,8.525667351,Non-pedigree,DSH,Male,Yes,5.49,7,27,No,0,Yes,192,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.770684624,118,Yes,Not_Healthy
